Date,daily_new_cases,moving_avg_7_days,cumulated_cases
12-02-2020,0,7,7
13-02-2020,0,3,7
14-02-2020,0,2,7
15-02-2020,0,1,7
16-02-2020,0,1,7
17-02-2020,0,1,7
18-02-2020,0,1,7
19-02-2020,0,0,7
20-02-2020,0,0,7
21-02-2020,1,0,8
22-02-2020,0,0,8
23-02-2020,0,0,8
24-02-2020,1,0,9
25-02-2020,0,0,9
26-02-2020,0,0,9
27-02-2020,1,0,10
28-02-2020,3,0,13
29-02-2020,0,0,13
01-03-2020,1,0,14
02-03-2020,5,0,19
03-03-2020,3,1,22
04-03-2020,0,1,22
05-03-2020,9,1,31
06-03-2020,4,3,35
07-03-2020,4,3,39
08-03-2020,9,3,48
09-03-2020,4,4,52
10-03-2020,33,4,85
11-03-2020,19,9,104
12-03-2020,22,11,126
13-03-2020,35,13,161
14-03-2020,29,18,190
15-03-2020,40,21,230
16-03-2020,73,26,303
17-03-2020,94,35,397
18-03-2020,125,44,522
19-03-2020,136,59,658
20-03-2020,168,76,826
21-03-2020,211,95,1037
22-03-2020,254,121,1291
23-03-2020,352,151,1643
24-03-2020,423,191,2066
25-03-2020,425,238,2491
26-03-2020,520,281,3011
27-03-2020,434,336,3445
28-03-2020,480,374,3925
29-03-2020,531,412,4456
30-03-2020,549,452,5005
31-03-2020,739,480,5744
01-04-2020,704,525,6441
02-04-2020,725,564,7166
03-04-2020,602,593,7768
04-04-2020,429,617,8197
05-04-2020,585,610,8782
06-04-2020,451,618,9233
07-04-2020,377,604,9610
08-04-2020,341,552,9951
09-04-2020,343,501,10294
10-04-2020,359,446,10653
11-04-2020,345,412,10998
12-04-2020,552,400,11550
13-04-2020,438,395,11988
14-04-2020,399,393,12387
15-04-2020,311,396,12698
16-04-2020,297,392,12995
17-04-2020,298,385,13293
18-04-2020,291,377,13584
19-04-2020,276,369,13860
20-04-2020,299,330,14159
21-04-2020,282,310,14441
22-04-2020,226,293,14667
23-04-2020,276,281,14943
24-04-2020,249,278,15192
25-04-2020,159,271,15351
26-04-2020,83,252,15434
27-04-2020,127,224,15561
28-04-2020,161,200,15722
29-04-2020,82,183,15804
30-04-2020,143,162,15947
01-05-2020,116,143,16063
02-05-2020,57,124,16120
03-05-2020,27,109,16147
04-05-2020,55,101,16202
05-05-2020,33,91,16235
06-05-2020,65,73,16300
07-05-2020,61,70,16361
08-05-2020,33,59,16394
09-05-2020,20,47,16414
10-05-2020,29,42,16443
11-05-2020,39,42,16482
12-05-2020,23,40,16505
13-05-2020,39,38,16544
14-05-2020,22,34,16566
15-05-2020,12,29,16578
16-05-2020,5,26,16583
17-05-2020,15,24,16598
18-05-2020,27,22,16625
19-05-2020,22,20,16647
20-05-2020,15,20,16662
21-05-2020,18,16,16680
22-05-2020,19,16,16699
23-05-2020,5,17,16704
24-05-2020,13,17,16717
25-05-2020,22,17,16739
26-05-2020,50,16,16789
27-05-2020,40,20,16829
28-05-2020,77,23,16906
29-05-2020,113,32,17019
30-05-2020,29,45,17048
31-05-2020,87,49,17135
01-06-2020,100,59,17235
02-06-2020,121,70,17356
03-06-2020,97,81,17453
04-06-2020,142,89,17595
05-06-2020,127,98,17722
06-06-2020,78,100,17800
07-06-2020,140,107,17940
08-06-2020,179,115,18119
09-06-2020,174,126,18293
10-06-2020,241,133,18534
11-06-2020,192,154,18726
12-06-2020,184,161,18910
13-06-2020,149,169,19059
14-06-2020,137,179,19196
15-06-2020,200,179,19396
16-06-2020,299,182,19695
17-06-2020,271,200,19966
18-06-2020,303,204,20269
19-06-2020,311,220,20580
20-06-2020,161,238,20741
21-06-2020,174,240,20915
22-06-2020,345,245,21260
23-06-2020,453,266,21713
24-06-2020,487,288,22200
25-06-2020,516,319,22716
26-06-2020,464,349,23180
27-06-2020,398,371,23578
28-06-2020,383,405,23961
29-06-2020,759,435,24720
30-06-2020,790,494,25510
01-07-2020,972,542,26482
02-07-2020,1152,611,27634
03-07-2020,944,702,28578
04-07-2020,822,771,29400
05-07-2020,830,831,30230
06-07-2020,1134,895,31364
07-07-2020,1390,949,32754
08-07-2020,1328,1034,34082
09-07-2020,1525,1085,35607
10-07-2020,1410,1139,37017
11-07-2020,1168,1205,38185
12-07-2020,1239,1255,39424
13-07-2020,1720,1313,41144
14-07-2020,1604,1397,42748
15-07-2020,1878,1427,44626
16-07-2020,1939,1506,46565
17-07-2020,1608,1565,48173
18-07-2020,1448,1593,49621
19-07-2020,1016,1633,50637
20-07-2020,1888,1601,52525
21-07-2020,2008,1625,54533
22-07-2020,2045,1683,56578
23-07-2020,1990,1707,58568
24-07-2020,1831,1714,60399
25-07-2020,1112,1746,61511
26-07-2020,1042,1698,62553
27-07-2020,2050,1702,64603
28-07-2020,2125,1725,66728
29-07-2020,1957,1742,68685
30-07-2020,1788,1729,70473
31-07-2020,1362,1700,71835
01-08-2020,626,1633,72461
02-08-2020,708,1564,73169
03-08-2020,1802,1516,74971
04-08-2020,1729,1481,76700
05-08-2020,1691,1424,78391
06-08-2020,1678,1386,80069
07-08-2020,1766,1370,81835
08-08-2020,755,1428,82590
09-08-2020,924,1447,83514
10-08-2020,1704,1477,85218
11-08-2020,1824,1463,87042
12-08-2020,1622,1477,88664
13-08-2020,1644,1467,90308
14-08-2020,1390,1462,91698
15-08-2020,757,1409,92455
16-08-2020,1071,1409,93526
17-08-2020,1652,1430,95178
18-08-2020,1650,1422,96828
19-08-2020,1641,1398,98469
20-08-2020,1486,1400,99955
21-08-2020,1495,1378,101450
22-08-2020,711,1393,102161
23-08-2020,965,1386,103126
24-08-2020,1902,1371,105028
25-08-2020,1959,1407,106987
26-08-2020,1986,1451,108973
27-08-2020,2108,1500,111081
28-08-2020,1834,1589,112915
29-08-2020,910,1637,113825
