Date,daiy_new_cases,rolling_avg_7_days,cumulated_cases
12-02-2020,0,7,7
13-02-2020,0,3,7
14-02-2020,0,2,7
15-02-2020,0,1,7
16-02-2020,0,1,7
17-02-2020,0,1,7
18-02-2020,0,1,7
19-02-2020,0,0,7
20-02-2020,0,0,7
21-02-2020,1,0,8
22-02-2020,0,0,8
23-02-2020,0,0,8
24-02-2020,1,0,9
25-02-2020,0,0,9
26-02-2020,0,0,9
27-02-2020,1,0,10
28-02-2020,3,0,13
29-02-2020,0,0,13
01-03-2020,1,0,14
02-03-2020,5,0,19
03-03-2020,3,1,22
04-03-2020,0,1,22
05-03-2020,9,1,31
06-03-2020,4,3,35
07-03-2020,4,3,39
08-03-2020,9,3,48
09-03-2020,4,4,52
10-03-2020,33,4,85
11-03-2020,19,9,104
12-03-2020,22,11,126
13-03-2020,35,13,161
14-03-2020,29,18,190
15-03-2020,40,21,230
16-03-2020,73,26,303
17-03-2020,94,35,397
18-03-2020,125,44,522
19-03-2020,136,59,658
20-03-2020,168,76,826
21-03-2020,211,95,1037
22-03-2020,254,121,1291
23-03-2020,352,151,1643
24-03-2020,423,191,2066
25-03-2020,425,238,2491
26-03-2020,520,281,3011
27-03-2020,434,336,3445
28-03-2020,479,374,3924
29-03-2020,530,412,4454
30-03-2020,551,451,5005
31-03-2020,739,480,5744
01-04-2020,704,525,6441
02-04-2020,723,564,7164
03-04-2020,602,593,7766
04-04-2020,428,617,8194
05-04-2020,584,610,8778
06-04-2020,451,617,9229
07-04-2020,377,603,9606
08-04-2020,341,551,9947
09-04-2020,341,500,10288
10-04-2020,357,446,10645
11-04-2020,345,411,10990
12-04-2020,552,399,11542
13-04-2020,438,394,11980
14-04-2020,396,393,12376
15-04-2020,311,395,12687
16-04-2020,297,391,12984
17-04-2020,298,385,13282
18-04-2020,291,376,13573
19-04-2020,276,369,13849
20-04-2020,299,329,14148
21-04-2020,280,309,14428
22-04-2020,226,293,14654
23-04-2020,276,281,14930
24-04-2020,249,278,15179
25-04-2020,159,271,15338
26-04-2020,83,252,15421
27-04-2020,127,224,15548
28-04-2020,161,200,15709
29-04-2020,82,183,15791
30-04-2020,143,162,15934
01-05-2020,116,143,16050
02-05-2020,57,124,16107
03-05-2020,27,109,16134
04-05-2020,55,101,16189
05-05-2020,33,91,16222
06-05-2020,65,73,16287
07-05-2020,61,70,16348
08-05-2020,33,59,16381
09-05-2020,20,47,16401
10-05-2020,29,42,16430
11-05-2020,39,42,16469
12-05-2020,23,40,16492
13-05-2020,39,38,16531
14-05-2020,22,34,16553
15-05-2020,12,29,16565
16-05-2020,5,26,16570
17-05-2020,15,24,16585
18-05-2020,27,22,16612
19-05-2020,22,20,16634
20-05-2020,15,20,16649
21-05-2020,18,16,16667
22-05-2020,19,16,16686
23-05-2020,5,17,16691
24-05-2020,13,17,16704
25-05-2020,22,17,16726
26-05-2020,50,16,16776
27-05-2020,40,20,16816
28-05-2020,77,23,16893
29-05-2020,113,32,17006
30-05-2020,29,45,17035
31-05-2020,87,49,17122
01-06-2020,100,59,17222
02-06-2020,121,70,17343
03-06-2020,97,81,17440
04-06-2020,142,89,17582
05-06-2020,127,98,17709
06-06-2020,78,100,17787
07-06-2020,140,107,17927
08-06-2020,179,115,18106
09-06-2020,174,126,18280
10-06-2020,241,133,18521
11-06-2020,192,154,18713
12-06-2020,184,161,18897
13-06-2020,149,169,19046
14-06-2020,137,179,19183
15-06-2020,200,179,19383
16-06-2020,299,182,19682
17-06-2020,272,200,19954
18-06-2020,303,204,20257
19-06-2020,311,220,20568
20-06-2020,161,238,20729
21-06-2020,174,240,20903
22-06-2020,344,245,21247
23-06-2020,453,266,21700
24-06-2020,487,288,22187
25-06-2020,516,319,22703
26-06-2020,464,349,23167
27-06-2020,397,371,23564
28-06-2020,383,405,23947
29-06-2020,759,434,24706
30-06-2020,791,494,25497
01-07-2020,972,542,26469
02-07-2020,1152,611,27621
03-07-2020,943,702,28564
04-07-2020,822,771,29386
05-07-2020,830,831,30216
06-07-2020,1134,895,31350
07-07-2020,1390,949,32740
08-07-2020,1328,1034,34068
09-07-2020,1525,1085,35593
10-07-2020,1410,1138,37003
11-07-2020,1168,1205,38171
12-07-2020,1239,1255,39410
13-07-2020,1719,1313,41129
14-07-2020,1604,1397,42733
15-07-2020,1876,1427,44609
16-07-2020,1939,1505,46548
17-07-2020,1606,1565,48154
18-07-2020,1447,1593,49601
19-07-2020,1016,1632,50617
20-07-2020,1888,1601,52505
21-07-2020,2008,1625,54513
22-07-2020,2045,1682,56558
23-07-2020,1990,1707,58548
24-07-2020,1831,1714,60379
25-07-2020,1112,1746,61491
26-07-2020,1042,1698,62533
27-07-2020,2050,1702,64583
28-07-2020,2125,1725,66708
29-07-2020,1957,1742,68665
30-07-2020,1789,1729,70454
31-07-2020,1361,1700,71815
01-08-2020,626,1633,72441
02-08-2020,708,1564,73149
03-08-2020,1802,1516,74951
04-08-2020,1729,1481,76680
05-08-2020,1691,1424,78371
06-08-2020,1677,1386,80048
07-08-2020,1765,1370,81813
08-08-2020,755,1428,82568
09-08-2020,924,1446,83492
10-08-2020,1704,1477,85196
11-08-2020,1824,1463,87020
12-08-2020,1622,1477,88642
13-08-2020,1644,1467,90286
14-08-2020,1390,1462,91676
15-08-2020,757,1409,92433
16-08-2020,1071,1409,93504
17-08-2020,1651,1430,95155
18-08-2020,1650,1422,96805
19-08-2020,1640,1397,98445
20-08-2020,1486,1400,99931
21-08-2020,1495,1377,101426
22-08-2020,711,1392,102137
23-08-2020,965,1386,103102
24-08-2020,1902,1371,105004
25-08-2020,1959,1407,106963
26-08-2020,1986,1451,108949
27-08-2020,2108,1500,111057
28-08-2020,1834,1589,112891
29-08-2020,909,1637,113800
